NBA Attendance and Ticket Prices (1989-1990 season),,
,,
Team,Attendance,Price ($)
Atlanta,13993,20.06
Boston,14916,22.54
Charlotte,23901,17
Chicago,18404,21.98
Cleveland,16969,19.63
Dallas,16868,17.05
Denver,12668,17.4
Detroit,21454,24.42
Golden State,15025,17.04
Houston,15846,17.56
Indiana,12885,13.77
LA Clippers,11869,21.95
LA Lakers,17378,29.18
Miami,15008,17.6
Milwaukee,16088,14.08
Minnesota,26160,10.92
New Jersey,12160,13.31
New York,17815,22.7
Orlando,15606,20.47
Philadelphia,14017,19.04
Phoenix,14114,16.59
Portland,12884,22.19
Sacramento,17014,16.96
San Antonio,14722,16.79
Seattle,12244,18.11
Utah,12616,18.41
Washington,11565,14.55
